cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
capd_1200_1550,2,2,10,stemh6_211_up,stemw_1450_1850,11,season4,1
capd_1200_1550,2,2,10,stemh6_211_up,stemw_1450_1850,11,season4,1
capd_1200_1550,2,2,10,stemh6_211_up,stemw_1450_1850,11,season4,1
capd_1200_1550,6,2,10,stemh6_211_up,stemw_1450_1850,11,season4,1
capd_1200_1550,6,2,10,stemh6_211_up,stemw_1450_1850,11,season3,1
capd_1200_1550,6,2,10,stemh6_211_up,stemw_1450_1850,11,season3,1
capd_1200_1550,2,2,10,stemh6_211_up,stemw_1450_1850,11,season4,1
capd_1200_1550,6,2,10,stemh6_211_up,stemw_1450_1850,11,season2,1
capd_1200_1550,6,2,10,stemh6_211_up,stemw_1450_1850,11,season3,1
capd_825_1200,6,2,10,stemh6_211_up,stemw_1450_1850,11,season2,1
capd_1200_1550,6,2,10,stemh6_211_up,stemw_1450_1850,11,season4,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season3,1
capd_480_825,4,2,10,stemh3_078_156,stemw_1450_1850,11,season3,1
capd_480_825,4,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season3,1
capd_480_825,6,2,10,stemh3_078_156,stemw_1075_1450,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,4,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1450_1850,11,season3,1
capd_825_1200,6,2,10,stemh3_078_156,stemw_1450_1850,11,season2,1
capd_480_825,4,2,10,stemh1_below_024,stemw_1075_1450,11,season2,1
capd_480_825,4,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,4,2,10,stemh2_024_078,stemw_1075_1450,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh3_078_156,stemw_1450_1850,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season3,1
capd_480_825,4,2,10,stemh3_078_156,stemw_1450_1850,11,season2,1
capd_480_825,6,2,10,stemh3_078_156,stemw_1450_1850,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_825_1200,6,2,10,stemh3_078_156,stemw_1450_1850,11,season2,1
capd_825_1200,6,2,10,stemh3_078_156,stemw_1450_1850,11,season2,1
capd_825_1200,6,2,10,stemh3_078_156,stemw_1450_1850,11,season2,1
capd_480_825,4,2,10,stemh2_024_078,stemw_1075_1450,11,season3,1
capd_480_825,6,2,10,stemh3_078_156,stemw_1450_1850,11,season2,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1450_1850,11,season2,1
capd_825_1200,4,2,10,stemh3_078_156,stemw_1450_1850,11,season3,1
capd_480_825,4,2,10,stemh3_078_156,stemw_1450_1850,11,season3,1
capd_480_825,6,2,10,stemh3_078_156,stemw_1075_1450,11,season2,1
capd_480_825,4,2,10,stemh3_078_156,stemw_1450_1850,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1450_1850,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1075_1450,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1450_1850,11,season3,1
capd_480_825,6,2,10,stemh2_024_078,stemw_1450_1850,11,season2,1
capd_480_825,4,2,10,stemh2_024_078,stemw_1075_1450,11,season3,1
capd_825_1200,6,2,10,stemh2_024_078,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh3_078_156,stemw_1075_1450,11,season2,1
capd_480_825,6,2,10,stemh1_below_024,stemw_1075_1450,11,season3,1
